corpus,doc_id,sent_id,eg_id,index,text,text_w_pairs,seq_label,pair_label,context,num_sents
altlex,altlex_dev.tsv,0,0,altlex_altlex_dev.tsv_0_0,"The Bhopal disaster , also referred to as the Bhopal gas tragedy , was a gas leak incident in India , considered the world 's worst industrial disaster .","<ARG1>The Bhopal disaster , also referred to</ARG1> as <ARG0>the Bhopal gas tragedy , was a gas leak incident in India , considered the world 's worst industrial disaster .</ARG0>",0,0,,1
altlex,altlex_dev.tsv,1,0,altlex_altlex_dev.tsv_1_0,"In addition , several vent gas scrubbers had been out of service as well as the steam boiler , intended to clean the pipes .","<ARG1>In addition , several vent gas scrubbers had been out of service as well</ARG1> as <ARG0>the steam boiler , intended to clean the pipes .</ARG0>",0,0,,1
altlex,altlex_dev.tsv,2,0,altlex_altlex_dev.tsv_2_0,"Union Carbide organized a team of international medical experts , as well as supplies and equipment , to work with the local Bhopal medical community , and the UCC technical team began assessing the cause of the gas leak .","<ARG1>Union Carbide organized a team of international medical experts ,</ARG1> as <ARG0>well as supplies and equipment , to work with the local Bhopal medical community , and the UCC technical team began assessing the cause of the gas leak .</ARG0>",0,0,,1
altlex,altlex_dev.tsv,3,0,altlex_altlex_dev.tsv_3_0,"Following an appeal of this decision , the U.S. Court of Appeals affirmed the transfer , judging , in January 1987 , that UCIL was a `` separate entity , owned , managed and operated exclusively by Indian citizens in India '' .","<ARG1>Following an appeal of this decision , the U.S. Court of Appeals affirmed the transfer , judging , in January 1987 , that UCIL was a `` separate entity , owned , managed</ARG1> and <ARG0>operated exclusively by Indian citizens in India '' .</ARG0>",0,0,,1
altlex,altlex_dev.tsv,4,0,altlex_altlex_dev.tsv_4_0,"The U.S. Supreme Court refused to hear an appeal of the decision of the lower federal courts in October 1993 , meaning that victims of the Bhopal disaster could not seek damages in a U.S. court .","<ARG0>The U.S. Supreme Court refused to hear an appeal of the decision of the lower federal courts in October 1993 ,</ARG0> meaning <ARG1>that victims of the Bhopal disaster could not seek damages in a U.S. court .</ARG1>",1,1,,1
altlex,altlex_dev.tsv,5,0,altlex_altlex_dev.tsv_5_0,"It sought damages for personal injury , medical monitoring and injunctive relief in the form of clean-up of the drinking water supplies for residential areas near the Bhopal plant .","<ARG1>It sought damages for personal injury , medical monitoring and injunctive relief in the form of clean-up of the drinking water supplies</ARG1> for <ARG0>residential areas near the Bhopal plant .</ARG0>",0,0,,1
altlex,altlex_dev.tsv,6,0,altlex_altlex_dev.tsv_6_0,"When UCC wanted to sell its shares in UCIL , it was directed by the Supreme Court to finance a 500-bed hospital for the medical care of the survivors .","<ARG1>When UCC wanted to sell its shares in UCIL , it was directed by the Supreme Court to finance a 500-bed hospital</ARG1> for <ARG0>the medical care of the survivors .</ARG0>",0,0,,1
altlex,altlex_dev.tsv,7,0,altlex_altlex_dev.tsv_7_0,"On 8 June 2012 , the Centre for incineration of toxic Bhopal waste agreed to pay to dispose of UCIL chemical plants waste in Germany .","<ARG1>On 8 June 2012 , the Centre</ARG1> for <ARG0>incineration of toxic Bhopal waste agreed to pay to dispose of UCIL chemical plants waste in Germany .</ARG0>",0,0,,1
altlex,altlex_dev.tsv,8,0,altlex_altlex_dev.tsv_8_0,"The operators assumed that owing to bad maintenance and leaking valves , it was possible for the water to leak into the tank .","<ARG0>The operators assumed that</ARG0> owing to <ARG1>bad maintenance and leaking valves , it was possible for the water to leak into the tank .</ARG1>",1,1,,1
altlex,altlex_dev.tsv,9,0,altlex_altlex_dev.tsv_9_0,"Do n't replace it , employees said they were told ... MIC workers needed more training ?","<ARG1>Do</ARG1> n't <ARG0>replace it , employees said they were told ... MIC workers needed more training ?</ARG0>",0,0,,1
altlex,altlex_dev.tsv,10,0,altlex_altlex_dev.tsv_10_0,"Slip-blind plates that would have prevented water from pipes being cleaned from leaking into the MIC tanks , had the valves been faulty , were not installed and their installation had been omitted from the cleaning checklist .","<ARG1>Slip-blind plates that would have prevented water from pipes being cleaned from leaking into the MIC tanks , had the valves been faulty , were</ARG1> not <ARG0>installed and their installation had been omitted from the cleaning checklist .</ARG0>",0,0,,1
altlex,altlex_dev.tsv,11,0,altlex_altlex_dev.tsv_11_0,The Arthur D. Little report concludes that it is likely that a single employee secretly and deliberately introduced a large amount of water into the MIC tank by removing a meter and connecting a water hose directly to the tank through the metering port .,<ARG1>The Arthur D. Little report concludes that it is</ARG1> likely <ARG0>that a single employee secretly and deliberately introduced a large amount of water into the MIC tank by removing a meter and connecting a water hose directly to the tank through the metering port .</ARG0>,0,0,,1
altlex,altlex_dev.tsv,12,0,altlex_altlex_dev.tsv_12_0,UCC chairman and CEO Warren Anderson was arrested and released on bail by the Madhya Pradesh Police in Bhopal on 7 December 1984 .,<ARG1>UCC chairman</ARG1> and <ARG0>CEO Warren Anderson was arrested and released on bail by the Madhya Pradesh Police in Bhopal on 7 December 1984 .</ARG0>,0,0,,1
altlex,altlex_dev.tsv,13,0,altlex_altlex_dev.tsv_13_0,"He founded several activist groups , as well as Sambhavna Trust , the clinic for gas affected patients , where he is the manager .","<ARG1>He founded several activist groups , as well as Sambhavna Trust , the clinic</ARG1> for <ARG0>gas affected patients , where he is the manager .</ARG0>",0,0,,1
altlex,altlex_dev.tsv,14,0,altlex_altlex_dev.tsv_14_0,Thousands died immediately from the effects of the gas .,<ARG1>Thousands died immediately from</ARG1> the effects of <ARG0>the gas .</ARG0>,0,0,,1
altlex,altlex_dev.tsv,15,0,altlex_altlex_dev.tsv_15_0,"As a result , large amounts of toxic gases were released into the environment .","<ARG0>As a</ARG0> result <ARG1>, large amounts of toxic gases were released into the environment .</ARG1>",1,1,,1
altlex,altlex_dev.tsv,16,0,altlex_altlex_dev.tsv_16_0,"The problem was then made worse by the plant 's location near a densely populated area , non-existent catastrophe plans and shortcomings in health care and socio-economic rehabilitation .","<ARG1>The problem was then made worse by the plant 's location near a densely populated area , non-existent catastrophe plans</ARG1> and <ARG0>shortcomings in health care and socio-economic rehabilitation .</ARG0>",0,0,,1
altlex,altlex_dev.tsv,17,0,altlex_altlex_dev.tsv_17_0,"It was nominated for Emmy and Golden Globe awards , winning a total of three Emmys .","<ARG1>It was nominated for Emmy</ARG1> and <ARG0>Golden Globe awards , winning a total of three Emmys .</ARG0>",0,0,,1
altlex,altlex_dev.tsv,18,0,altlex_altlex_dev.tsv_18_0,"He goes on to make amends for his sins and to search for redemption in his own spin-off , `` Angel '' .","<ARG1>He goes on to make amends for his sins</ARG1> and to <ARG0>search for redemption in his own spin-off , `` Angel '' .</ARG0>",0,0,,1
altlex,altlex_dev.tsv,19,0,altlex_altlex_dev.tsv_19_0,"They frequently save the world from annihilation by a combination of physical combat , magic , and detective-style investigation , and are guided by an extensive collection of ancient and mystical reference books .","<ARG1>They frequently save the world from annihilation by a combination of</ARG1> physical <ARG0>combat , magic , and detective-style investigation , and are guided by an extensive collection of ancient and mystical reference books .</ARG0>",0,0,,1
altlex,altlex_dev.tsv,20,0,altlex_altlex_dev.tsv_20_0,"Spike returns as a series regular and is abducted by The Initiative , a top-secret military installation based beneath the UC Sunnydale campus .","<ARG1>Spike returns</ARG1> as <ARG0>a series regular and is abducted by The Initiative , a top-secret military installation based beneath the UC Sunnydale campus .</ARG0>",0,0,,1
altlex,altlex_dev.tsv,21,0,altlex_altlex_dev.tsv_21_0,"Buffy returns in a deep depression , explaining that she had been in Heaven and is devastated to be pulled back to earth .","<ARG1>Buffy returns in a deep depression , explaining that she had been in Heaven and is devastated to be pulled</ARG1> back to <ARG0>earth .</ARG0>",0,0,,1
